Climb,Area,Climber,Date,FrenchGrade,Style,Gender,Year,Grade,OriginalArea,SuggestedGrade,AscentNumber,Notes,SuggestedNumberGrade,AveragedNumberGrade
Kemena,"12590 Almenara, Spain",Rubén Díaz Torres,2/9/2013,8C,Boulder Problem,M,2013,V15,Almenara,8C,1,,15,15
Kemena,"12590 Almenara, Spain",Ignacio Sánchez González,11/1/2013,8C,Boulder Problem,M,2013,V15,Almenara,8B+,2,,14,15
Hurricane,5505 Mühlbach am Hochkönig,Bernhard Schwaiger,6/14/2009,8C+,Boulder Problem,M,2009,V16,Birgkar,8C/8C+,1,8C/(8C+),15.5,16
L'Anarchiste,"83603 Saint-Anne, France",Philip Moser,3/23/2003,8C,Boulder Problem,M,2003,V15,St. Anne,8C,1,,15,15
L'Anarchiste,"83603 Saint-Anne, France",Frédéric Tuscan,3/13/2004,8C,Boulder Problem,M,2004,V15,St. Anne,8C,2,,15,15
Le Punk,"83603 Saint-Anne, France",Philip Moser,3/22/2003,8C,Boulder Problem,M,2003,V15,St. Anne,8B+/8C,1,8B+/8C,14.5,15
Outro,Achleitberg,Roland Hemetzberger,12/25/2015,9a+,Sport Route,M,2015,5.15a,Achleiten,9a+,1,,2,2
Txapela,Albarracín,Iker Arroitajauregi,11/1/2013,8C,Boulder Problem,M,2013,V15,Albarracín,8C,1,8C bloc,15,15
Txapela,Albarracín,Daniel Andrada Jiménez,12/20/2013,8C,Boulder Problem,M,2013,V15,Albarracín,8C,2,"5 days, 8C trav/9a",15,15
Txapela,Albarracín,Alberto Rocasolano Jaudenes,1/9/2014,8C,Boulder Problem,M,2014,V15,Albarracín,UNKNOWN,3,"more like a traverse/highball, 5 days",0,15
Robin úd,"Alternativna Stena, Slovakia",Adam Ondra,10/5/2016,9b,Sport Route,M,2016,5.15b,Alternatívna Stena,9b,1,5 days,3,3
Lapsus,Andonno,Stefano Ghisolfi,11/2/2015,9b,Sport Route,M,2015,5.15b,Andonno,9b,1,10+ days,3,3
Lapsus,Andonno,Adam Ondra,4/20/2017,9b,Sport Route,M,2017,5.15b,Andonno,9b,2,9b soft,3,3
Eskerrik Asko,Araotz,Markel Mendieta Uribarren,12/1/2016,8C,Boulder Problem,M,2016,V15,Araotz,8C,1,,15,15
Lurragorri,Araotz,Markel Mendieta Uribarren,4/27/2014,8C,Boulder Problem,M,2014,V15,Araotz,8C,1,"Or April 29, 2014",15,15
One Punch,Arco,Stefano Ghisolfi,4/30/2017,9b,Sport Route,M,2017,5.15b,Arco,9a+/9b,1,10 days. 9a+ hard (9b),2.5,3
One Punch,Arco,Adam Ondra,11/13/2017,9b,Sport Route,M,2017,5.15b,Arco,9a+/9b,2,,2.5,3
One Slap,Arco,Adam Ondra,11/13/2017,9b,Sport Route,M,2017,5.15b,Arco,9b,1,,3,3
One Slap,Arco,Stefano Ghisolfi,11/22/2017,9b,Sport Route,M,2017,5.15b,Arco,9b,2,,3,3
Queen Line,Arco,Adam Ondra,4/18/2017,9b,Sport Route,M,2017,5.15b,Arco,9b,1,9b hard. 4 days + a few goes three years ago,3,3
Queen Line,Arco,Stefano Ghisolfi,2/26/2019,9b,Sport Route,M,2019,5.15b,Arco,9b,2,,3,3
Ultimatum,Arco,Stefano Ghisolfi,12/19/2016,9a+,Sport Route,M,2016,5.15a,Massone,9a+,1,,2,2
Ultimatum,Arco,Eric Albertini,4/4/2017,9a+,Sport Route,M,2017,5.15a,Massone,9a+,2,,2,2
Ultimatum,Arco,Adam Ondra,4/18/2017,9a+,Sport Route,M,2017,5.15a,Massone,9a+,3,,2,2
Underground Dreaming,Arco,Adam Ondra,2/24/2018,9a+,Sport Route,M,2018,5.15a,Arco,9a+,1,,2,2
Cthulhu,Arnao,Ignacio Sánchez González,5/1/2015,8C,Boulder Problem,M,2015,V15,Arnao,8C,1,6 months,15,15
Stone Butterfly,Baile Herculane,Adam Ondra,5/15/2018,9a+,Sport Route,M,2018,5.15a,Baile Herculane,9a+,1,,2,2
Airian,Baltzola,Iván Larrión,3/1/2012,8C,Boulder Problem,M,2012,V15,Baltzola,8C,1,,15,15
Airian,Baltzola,Alberto Rocasolano Jaudenes,5/31/2016,8C,Boulder Problem,M,2016,V15,Baltzola,8C,2,,15,15
Mikelon,Baltzola,Iván Larrión,2/1/2016,8C,Boulder Problem,M,2016,V15,Baltzola,8B+/8C,1,8B+/8C,14.5,15
Kryptos,Basler Jura,Franz Widmer,5/10/2009,8C,Boulder Problem,M,2009,V15,Basler Jura,8C,1,,15,15
Kryptos,Basler Jura,Frédéric Nicole,10/29/2009,8C,Boulder Problem,M,2009,V15,Basler Jura,8C,2,,15,15
Kryptos,Basler Jura,Kevin Heiniger,4/24/2017,8C,Boulder Problem,M,2017,V15,Basler Jura,8C,3,,15,15
Kryptos,Basler Jura,Katrin Lehmann,5/14/2018,8C,Boulder Problem,F,2018,V15,Basler Jura,8C,4,2nd woman to climb V15.,15,15
Kryptos,Basler Jura,Elias Iagnemma,11/8/2018,8C,Boulder Problem,M,2018,V15,Basler Jura,8C,5,,15,15
Kryptos,Basler Jura,Christof Rauch,3/29/2019,8C,Boulder Problem,M,2019,V15,Basler Jura,8B+,6,,14,15
Le Poinçonneur des Lilas,Basler Jura,Frédéric Nicole,1/1/2004,8C,Boulder Problem,M,2004,V15,Basler Jura,8C,1,,15,15
Le Poinçonneur des Lilas,Basler Jura,Franz Widmer,1/1/2008,8C,Boulder Problem,M,2008,V15,Basler Jura,UNKNOWN,2,,0,15
Lucid Dreaming,Bishop,Paul Robinson,3/30/2010,8C,Boulder Problem,M,2010,V15,Bishop,8C,1,"Originally graded as 8C+ but later Paul downgraded it by himself to 8C. Watch the ascen on ""Reel Rock Tour 2010"".",15,15
Lucid Dreaming,Bishop,Daniel Woods,1/28/2014,8C,Boulder Problem,M,2014,V15,Bishop,8C,2,"4 or 5 days. Watch the ascent on ""Exposure Vol. II"".",15,15
Lucid Dreaming,Bishop,Alexander Megos,1/27/2015,8C,Boulder Problem,M,2015,V15,Bishop,8C,3,11 days,15,15
Lucid Dreaming,Bishop,Toru Nakajima,2/19/2017,8C,Boulder Problem,M,2017,V15,Bishop,8C,4,16 days over 3 seasons,15,15
The Process,Bishop,Daniel Woods,1/15/2015,8C+,Boulder Problem,M,2015,V16,Bishop,8C+,1,"8C+ soft. 15 days. Watch the ascent on ""Reel Rock Tour 10"".",16,16
The Game,"Boulder, Colorado",Daniel Woods,2/10/2010,8C,Boulder Problem,M,2010,V15,Boulder Canyon,8C,1,"17 days. Woods originally suggested 8C+, but later changed his grade to 8C (soft). Later Woods repeated the problem. Watch the ascent on ""Reel Rock Tour 2010"".",15,15
The Game,"Boulder, Colorado",Carlo Traversi,3/13/2011,8C,Boulder Problem,M,2011,V15,Boulder Canyon,8C,2,5 days,15,15
The Game,"Boulder, Colorado",Jon Cardwell,1/8/2013,8C,Boulder Problem,M,2013,V15,Boulder Canyon,8C,3,2 years,15,15
The Game,"Boulder, Colorado",James Webb,1/15/2016,8C,Boulder Problem,M,2016,V15,Boulder Canyon,8C,4,5 days in this season,15,15
The Game,"Boulder, Colorado",Ryuichi Murai,5/12/2019,8C,Boulder Problem,M,2019,V15,Boulder Canyon,8C,5,2 days,15,15
Poison the Well,"Brione, Switzerland",Giuliano Cameroni,2/1/2019,8C+,Boulder Problem,M,2019,V16,Brione,8C+,1,,16,16
The Kingdom,"Brione, Switzerland",Carlo Traversi,3/31/2013,8C,Boulder Problem,M,2013,V15,Brione,8C,1,"Watch the ascent on ""Heritage"".",15,15
The Kingdom,"Brione, Switzerland",James Webb,3/19/2014,8C,Boulder Problem,M,2014,V15,Brione,8C,2,2 days,15,15
The Kingdom,"Brione, Switzerland",Florian Wientjes,3/3/2019,8C,Boulder Problem,M,2019,V15,Brione,8B+,3,,14,15
The Kingdom,"Brione, Switzerland",Daniel Woods,4/16/2019,8C,Boulder Problem,M,2019,V15,Brione,8C,4,Soft,15,15
Mandragora Sit Start,Buñol,Alberto Rocasolano Jaudenes,1/1/2015,8C,Boulder Problem,M,2015,V15,Buñol,8B+/8C,1,8B+/8C,14.5,15
Naturalmente,Camaiore,Adam Ondra,4/21/2017,9a+,Sport Route,M,2017,5.15a,Camaiore,9a+,1,,2,2
Disbelief,Canmore,Adam Ondra,7/20/2018,9b,Sport Route,M,2018,5.15b,Canmore,9b,1,9b hard. 8 days.,3,3
Fightclub,Canmore,Alexander Megos,8/15/2016,9b,Sport Route,M,2016,5.15b,Canmore,9b,1,5 days,3,3
Sacrifice,Canmore,Adam Ondra,7/23/2018,9a+,Sport Route,M,2018,5.15a,Canmore,9a+,1,,2,2
Entropia,Castillo de Bayuela,Ignacio Sánchez González,3/22/2011,8C,Boulder Problem,M,2011,V15,Castillo de Bayuela,8C,1,"Watch the ascent on ""Proyecto NA.SA."".",15,15
Entropia,Castillo de Bayuela,Alberto Rocasolano Jaudenes,2/4/2014,8C,Boulder Problem,M,2014,V15,Castillo de Bayuela,8C,2,,15,15
Entropia,Castillo de Bayuela,Ignacio Mulero,3/1/2016,8C,Boulder Problem,M,2016,V15,Castillo de Bayuela,UNKNOWN,3,,0,15
Black Eagle SD,Cederberg,Frédéric Nicole,8/18/2002,8C,Boulder Problem,M,2002,V15,Rocklands,8C,1,,15,15
Black Eagle SD,Cederberg,David Graham,8/3/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,2,Used a new sequence due to many broken holds,15,15
Black Eagle SD,Cederberg,Daniel Woods,8/17/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,3,8C soft,15,15
Black Eagle SD,Cederberg,Giuliano Cameroni,8/18/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,4,,15,15
Chakijana,Cederberg,Frédéric Nicole,10/1/2016,8C,Boulder Problem,M,2016,V15,Rocklands,8B+/8C,1,8B/8C,14.5,15
In the Depths of Solitude,Cederberg,Paul Robinson,7/15/2014,8C,Boulder Problem,M,2014,V15,Three Corners,8C,1,,15,15
In the Depths of Solitude,Cederberg,Nalle Hukkataival,8/18/2016,8C,Boulder Problem,M,2016,V15,Three Corners,8B+,2,,14,15
Khoikhoi,Cederberg,James Webb,6/22/2014,8C,Boulder Problem,M,2014,V15,Weighbridge,8B+,1,,14,15
Khoikhoi,Cederberg,Nalle Hukkataival,8/9/2017,8C,Boulder Problem,M,2017,V15,Weighbridge,8C,2,,15,15
Khoikhoi,Cederberg,Shawn Raboutou,8/9/2017,8C,Boulder Problem,M,2017,V15,Weighbridge,8C,3,,15,15
Livin' Large,Cederberg,Nalle Hukkataival,8/5/2009,8C,Boulder Problem,M,2009,V15,Rocklands,8C,1,,15,15
Livin' Large,Cederberg,James Webb,7/6/2015,8C,Boulder Problem,M,2015,V15,Rocklands,8C,2,10+ days,15,15
Monkey Wedding,Cederberg,Frédéric Nicole,8/20/2002,8C,Boulder Problem,M,2002,V15,Rocklands,8B+,1,,14,15
Monkey Wedding,Cederberg,Paul Robinson,8/24/2010,8C,Boulder Problem,M,2010,V15,Rocklands,8C,2,10 days,15,15
Monkey Wedding,Cederberg,Adam Ondra,8/14/2011,8C,Boulder Problem,M,2011,V15,Rocklands,8C,3,4 days,15,15
Monkey Wedding,Cederberg,Daniel Woods,8/13/2012,8C,Boulder Problem,M,2012,V15,Rocklands,8C,4,,15,15
Monkey Wedding,Cederberg,Ignacio Sánchez González,6/27/2015,8C,Boulder Problem,M,2015,V15,Rocklands,8C,5,,15,15
Monkey Wedding,Cederberg,Shawn Raboutou,7/1/2016,8C,Boulder Problem,M,2016,V15,Rocklands,UNKNOWN,6,6th or 7th ascent,0,15
Monkey Wedding,Cederberg,Nalle Hukkataival,7/24/2016,8C,Boulder Problem,M,2016,V15,Rocklands,8C,7,6th or 7th ascent,15,15
Monkey Wedding,Cederberg,Vadim Timonov,7/24/2016,8C,Boulder Problem,M,2016,V15,Rocklands,8C,8,,15,15
Monkey Wedding,Cederberg,David Graham,8/1/2016,8C,Boulder Problem,M,2016,V15,Rocklands,8C,9,,15,15
Monkey Wedding,Cederberg,Charles Albert,6/1/2017,8C,Boulder Problem,M,2017,V15,Rocklands,8C,10,"8C soft, 5 sessions",15,15
Monkey Wedding,Cederberg,Alex Khazanov,7/6/2017,8C,Boulder Problem,M,2017,V15,Rocklands,8C,11,3 days,15,15
Monkey Wedding,Cederberg,Alexander Megos,7/10/2017,8C,Boulder Problem,M,2017,V15,Rocklands,UNKNOWN,12,30min (+ half a day 3 years ago),0,15
Monkey Wedding,Cederberg,Toby Saxton,8/21/2017,8C,Boulder Problem,M,2017,V15,Rocklands,8C,13,,15,15
Monkey Wedding,Cederberg,Aidan Roberts,8/1/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,14,,15,15
Monkey Wedding,Cederberg,Toshi Takeuchi,8/13/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,15,2 years,15,15
Noise vs Beauty,Cederberg,Daniel Woods,6/18/2015,8C,Boulder Problem,M,2015,V15,Rocklands,8C,1,"Woods originally suggested V14+, but later changed his opinion to 8C soft. Watch the ascent on ""ZA"".",15,15
Noise vs Beauty,Cederberg,Nalle Hukkataival,8/9/2015,8C,Boulder Problem,M,2015,V15,Rocklands,8B+/8C,2,8B+/8C,14.5,15
Noise vs Beauty,Cederberg,Paul Robinson,7/7/2017,8C,Boulder Problem,M,2017,V15,Rocklands,8B+,3,,14,15
Noise vs Beauty,Cederberg,David Graham,7/11/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,4,,15,15
Noise vs Beauty,Cederberg,Moritz Perwitzschky,9/3/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,5,,15,15
Parzival,Cederberg,David Graham,8/1/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,1,,15,15
Red Bottom Sky,Cederberg,David Graham,8/25/2017,8C,Boulder Problem,M,2017,V15,Rocklands,8C,1,,15,15
Spray of Light,Cederberg,Daniel Woods,7/12/2015,8C,Boulder Problem,M,2015,V15,Rocklands,8C,1,"8C soft. Watch the ascent on ""ZA"".",15,15
Spray of Light,Cederberg,David Graham,8/29/2015,8C,Boulder Problem,M,2015,V15,Rocklands,8C,2,,15,15
Spray of Light,Cederberg,Shawn Raboutou,7/1/2016,8C,Boulder Problem,M,2016,V15,Rocklands,UNKNOWN,3,,0,15
Spray of Light,Cederberg,Toshi Takeuchi,8/1/2016,8C,Boulder Problem,M,2016,V15,Rocklands,8C,4,4 days,15,15
Spray of Light,Cederberg,Ryuichi Murai,9/17/2016,8C,Boulder Problem,M,2016,V15,Rocklands,8C,5,4 days,15,15
Spray of Light,Cederberg,Martin Mobråten,6/26/2018,8C,Boulder Problem,M,2018,V15,Rocklands,UNKNOWN,6,,0,15
Spray of Light,Cederberg,Thilo Schröter,7/13/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,7,8C soft,15,15
Spray of Light,Cederberg,Kim Marschner,8/30/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,8,,15,15
The Finnish Line,Cederberg,Nalle Hukkataival,6/27/2017,8C,Boulder Problem,M,2017,V15,Rocklands,8C/8C+,1,"8C/8C+, ""A new contender for the hardest in Rocklands""",15.5,15
The Finnish Line,Cederberg,Alexander Megos,7/22/2017,8C,Boulder Problem,M,2017,V15,Rocklands,UNKNOWN,2,5 days,0,15
The Finnish Line,Cederberg,Toby Saxton,9/19/2017,8C,Boulder Problem,M,2017,V15,Rocklands,8C+,3,,16,15
The Finnish Line,Cederberg,Shawn Raboutou,6/22/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,4,,15,15
The Finnish Line,Cederberg,Daniel Woods,6/28/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,5,,15,15
The Finnish Line,Cederberg,Daisuke Ichimiya,8/6/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,6,,15,15
The Pirate's Code,Cederberg,Paul Robinson,7/16/2018,8C,Boulder Problem,M,2018,V15,Three Corners,8C,1,3 years,15,15
The Pirate's Code,Cederberg,Daniel Woods,8/2/2018,8C,Boulder Problem,M,2018,V15,Three Corners,8C,2,,15,15
The Smile,Cederberg,Giuliano Cameroni,7/14/2018,8C,Boulder Problem,M,2018,V15,Rocklands,8C,1,,15,15
Massacrate,Celje,Jernej Kruder,12/5/2015,8C,Boulder Problem,M,2015,V15,Celje,8C,1,9a+ sport/hard 8C bloc. 5 years. 60+ moves,15,15
Keizer Sauzé,Chamonix,Romain Desgranges,10/1/2008,8C+,Boulder Problem,M,2008,V16,Chamonix,8C/8C+,1,8C/8C+. The boulder problem has been destroyed.,15.5,16
Meiose,Charmey,Pirmin Bertle,11/19/2015,9b,Sport Route,M,2015,5.15b,Charmey,9b,1,300 days,3,3
Meiose,Charmey,Adam Ondra,1/27/2018,9b,Sport Route,M,2018,5.15b,Charmey,9a+,2,9a+ soft. 3rd go,2,3
Southern Drawl,Chattanooga,James Webb,11/19/2015,8C,Boulder Problem,M,2015,V15,Chattanooga,8B+,1,,14,15
